doc_id,doc_type,text
DOC-00000,email,Subject: Parking lot closure Could someone cover my shift on Friday afternoon? Please review the updated vacation policy attached to this email. Happy birthday to Dana Whitfield! Cake in the break room at 3pm. Invoice #4821 is now due; please approve it in the system. Timesheets are due by end of day Wednesday.
DOC-00001,email,Subject: Office furniture acquisition The board's acquisition of new conference chairs was unanimous. Please escrow the security deposit for the new downtown office lease. Acquisition of additional server capacity was approved by IT yesterday. The target savings from the energy audit are fifteen percent. The target date for the office move is Friday; label all boxes clearly.
DOC-00002,memo,"The printer on floor 3 is jammed again; IT has been notified. Please welcome our new intern, joining the support team on Monday. The Q2 newsletter is out — great photos from the company picnic. The IT helpdesk will perform system maintenance on Saturday night. Book club meets Thursday to discuss this month's novel. Could someone cover my shift on Friday afternoon? Parking lot B will be closed for repaving next week."
DOC-00003,memo,Please review the updated vacation policy attached to this email. Reminder: submit your expense reports by Friday. Happy birthday to Elena Vasquez! Cake in the break room at 3pm. Team standup moves to 9:30 starting next week. New security badges are ready for pickup at reception. The printer on floor 3 is jammed again; IT has been notified. The IT helpdesk will perform system maintenance on Saturday night. The elevator will be out of service on Tuesday morning. Invoice #4821 is now due; please approve it in the system.
DOC-00004,email,Subject: Expense reports reminder Invoice #4821 is now due; please approve it in the system. Reminder: submit your expense reports by Friday. The fire drill is scheduled for Thursday at 10am sharp. The IT helpdesk will perform system maintenance on Saturday night. The Wi-Fi password changed; the new one is on the intranet.
DOC-00005,email,Subject: Softball team merger Tender documents for the parking garage contract are due Friday. The merger of the marketing and sales departments is complete; please update the org chart. The merger of our two softball teams means new jerseys for everyone this season. The tender for the cafeteria contract attracted three bids; winner announced Friday.
DOC-00006,email,Subject: Department merger update Closing checklist for the office move: label every box with your name. The warranties on the new printers expire in June — renew them. Privileged parking spots on level 1 are reserved for executives. The target date for the office move is Friday; label all boxes clearly. Due diligence on the new coffee vendor is done — they passed the taste test. The target savings from the energy audit are fifteen percent.
DOC-00007,memo,Reminder: submit your expense reports by Friday. The fire drill is scheduled for Thursday at 10am sharp. Project Horizon is moving to due diligence next week; David Chen asked legal to prepare the data room. Parking lot B will be closed for repaving next week. The tender offer documents reference codename Horizon throughout. The data room now contains three years of audited financials for due diligence.
DOC-00008,newsletter,"The acquisition team for office supplies needs two volunteers. Tender documents for the parking garage contract are due Friday. Acquisition of additional server capacity was approved by IT yesterday. Please clean the data room; the servers are overheating again. The planning horizon for next year's budget is eighteen months, so start early. The warranties on the new printers expire in June — renew them. Our antitrust counsel approved the merger of the two softball leagues. Due diligence on the new benefits provider starts next week — HR is leading it. The target date for the office move is Friday; label all boxes clearly."
DOC-00009,email,Subject: Board approval: Horizon transaction The gym on the ground floor has new opening hours. Regulatory filings for the merger are due Friday; coordinate with outside counsel. Merger clearance in the EU will take longer than expected; adjust the closing timeline. The IT helpdesk will perform system maintenance on Saturday night.
DOC-00010,memo,Book club meets Thursday to discuss this month's novel. The lobby coffee machine is finally fixed. Happy birthday to Dana Whitfield! Cake in the break room at 3pm. The IT helpdesk will perform system maintenance on Saturday night. Please review the updated vacation policy attached to this email.
DOC-00011,invoice,Timesheets are due by end of day Wednesday. The Q2 newsletter is out — great photos from the company picnic. Lunch is at noon in the cafeteria; today's special is pasta.
DOC-00012,invoice,The tender for the cafeteria contract attracted three bids; winner announced Friday. We approved the acquisition of new office furniture for the Chicago floor.
DOC-00013,invoice,"Happy birthday to Dana Whitfield! Cake in the break room at 3pm. Lunch is at noon in the cafeteria; today's special is pasta. Please welcome our new intern, joining the support team on Monday."
DOC-00014,meeting_notes,"Our antitrust counsel approved the merger of the two softball leagues. The planning horizon for next year's budget is eighteen months, so start early. The closing checklist for the office move needs legal's sign-off. The merger of the marketing and sales departments is complete; please update the org chart. Closing checklist for the office move: label every box with your name. Let's close out the deal on parking spots before the garage fills up."
DOC-00015,email,"Subject: Department merger update The data room (server closet) needs better ventilation before summer. Privileged parking spots on level 1 are reserved for executives. The merger clause in the softball league rules needs a second reading. Reps from the catering company will arrive at noon for the tasting. Accretive or not, the new espresso machine was worth every penny."
DOC-00016,memo,Invoice #4821 is now due; please approve it in the system. Lunch is at noon in the cafeteria; today's special is pasta. Happy birthday to Sara Lindqvist! Cake in the break room at 3pm. Timesheets are due by end of day Wednesday. The Q2 newsletter is out — great photos from the company picnic. The gym on the ground floor has new opening hours. Flu shots will be available in the lobby on Wednesday. Please review the updated vacation policy attached to this email.
DOC-00017,email,Subject: Parking lot closure Please review the updated vacation policy attached to this email. Team standup moves to 9:30 starting next week. The lobby coffee machine is finally fixed. Invoice #4821 is now due; please approve it in the system.
DOC-00018,newsletter,Team standup moves to 9:30 starting next week. Recycling bins are now on every floor — please sort your waste. Invoice #4821 is now due; please approve it in the system. Flu shots will be available in the lobby on Wednesday. The elevator will be out of service on Tuesday morning. Could someone cover my shift on Friday afternoon? Book club meets Thursday to discuss this month's novel.
DOC-00019,newsletter,Due diligence on the new coffee vendor is done — they passed the taste test. Reps from the catering company will arrive at noon for the tasting. We approved the acquisition of new office furniture for the Chicago floor. The warranties on the new printers expire in June — renew them. Acquisition of additional server capacity was approved by IT yesterday. Please clean the data room; the servers are overheating again. The target savings from the energy audit are fifteen percent.
DOC-00020,meeting_notes,Team standup moves to 9:30 starting next week. Parking lot B will be closed for repaving next week. The lobby coffee machine is finally fixed. Invoice #4821 is now due; please approve it in the system. The IT helpdesk will perform system maintenance on Saturday night. Happy birthday to Sara Lindqvist! Cake in the break room at 3pm. The Wi-Fi password changed; the new one is on the intranet.
