doc_id,responsive
DOC-00000,0
DOC-00001,0
DOC-00002,0
DOC-00003,0
DOC-00004,0
DOC-00005,0
DOC-00006,0
DOC-00007,1
DOC-00008,0
DOC-00009,1
DOC-00010,0
DOC-00011,0
DOC-00012,0
DOC-00013,0
DOC-00014,0
DOC-00015,0
DOC-00016,0
DOC-00017,0
DOC-00018,0
DOC-00019,0
DOC-00020,0
DOC-00021,0
DOC-00022,0
DOC-00023,0
DOC-00024,0
DOC-00025,0
DOC-00026,0
DOC-00027,0
DOC-00028,0
DOC-00029,1
DOC-00030,0
DOC-00031,0
DOC-00032,0
DOC-00033,0
DOC-00034,0
DOC-00035,0
DOC-00036,0
DOC-00037,0
DOC-00038,0
DOC-00039,1
DOC-00040,0
DOC-00041,0
DOC-00042,0
DOC-00043,0
DOC-00044,0
DOC-00045,0
DOC-00046,1
DOC-00047,0
DOC-00048,0
DOC-00049,0
DOC-00050,0
DOC-00051,0
DOC-00052,1
DOC-00053,0
DOC-00054,0
DOC-00055,1
DOC-00056,1
DOC-00057,0
DOC-00058,0
DOC-00059,0
DOC-00060,0
DOC-00061,0
DOC-00062,0
DOC-00063,0
DOC-00064,0
DOC-00065,0
DOC-00066,0
DOC-00067,0
DOC-00068,1
DOC-00069,0
DOC-00070,0
DOC-00071,0
DOC-00072,1
DOC-00073,1
DOC-00074,0
DOC-00075,0
DOC-00076,0
DOC-00077,0
DOC-00078,0
DOC-00079,0
DOC-00080,0
DOC-00081,0
DOC-00082,0
DOC-00083,0
DOC-00084,1
DOC-00085,0
DOC-00086,0
DOC-00087,0
DOC-00088,0
DOC-00089,0
DOC-00090,0
DOC-00091,0
DOC-00092,0
DOC-00093,0
DOC-00094,0
DOC-00095,0
DOC-00096,1
DOC-00097,0
DOC-00098,0
DOC-00099,1
DOC-00100,0
DOC-00101,1
DOC-00102,1
DOC-00103,0
DOC-00104,0
DOC-00105,0
DOC-00106,0
DOC-00107,0
DOC-00108,0
DOC-00109,0
DOC-00110,0
DOC-00111,0
DOC-00112,0
DOC-00113,0
DOC-00114,1
DOC-00115,1
DOC-00116,1
DOC-00117,1
DOC-00118,0
DOC-00119,0
DOC-00120,0
DOC-00121,0
DOC-00122,0
DOC-00123,0
DOC-00124,0
DOC-00125,0
DOC-00126,1
DOC-00127,0
DOC-00128,1
DOC-00129,0
DOC-00130,0
DOC-00131,0
DOC-00132,1
DOC-00133,1
DOC-00134,0
DOC-00135,0
DOC-00136,0
DOC-00137,0
DOC-00138,0
DOC-00139,0
DOC-00140,0
DOC-00141,0
DOC-00142,0
DOC-00143,1
DOC-00144,0
DOC-00145,1
DOC-00146,0
DOC-00147,0
DOC-00148,1
DOC-00149,0
DOC-00150,0
DOC-00151,0
DOC-00152,1
DOC-00153,1
DOC-00154,0
DOC-00155,0
DOC-00156,1
DOC-00157,0
DOC-00158,0
DOC-00159,1
DOC-00160,0
DOC-00161,0
DOC-00162,0
DOC-00163,0
DOC-00164,0
DOC-00165,0
DOC-00166,0
DOC-00167,0
DOC-00168,0
DOC-00169,0
DOC-00170,0
DOC-00171,1
DOC-00172,0
DOC-00173,1
DOC-00174,0
DOC-00175,1
DOC-00176,0
DOC-00177,0
DOC-00178,0
DOC-00179,0
DOC-00180,1
DOC-00181,0
DOC-00182,0
DOC-00183,0
DOC-00184,0
DOC-00185,0
DOC-00186,0
DOC-00187,0
DOC-00188,0
DOC-00189,0
DOC-00190,1
DOC-00191,0
DOC-00192,1
DOC-00193,0
DOC-00194,0
DOC-00195,0
DOC-00196,0
DOC-00197,0
DOC-00198,1
DOC-00199,0
DOC-00200,0
DOC-00201,0
DOC-00202,0
DOC-00203,0
DOC-00204,0
DOC-00205,0
DOC-00206,0
DOC-00207,0
DOC-00208,0
DOC-00209,0
DOC-00210,0
DOC-00211,1
DOC-00212,0
DOC-00213,1
DOC-00214,1
DOC-00215,1
DOC-00216,0
DOC-00217,1
DOC-00218,1
DOC-00219,1
DOC-00220,0
DOC-00221,0
DOC-00222,0
DOC-00223,0
DOC-00224,0
DOC-00225,0
DOC-00226,0
DOC-00227,0
DOC-00228,0
DOC-00229,0
DOC-00230,0
DOC-00231,0
DOC-00232,1
DOC-00233,0
DOC-00234,0
DOC-00235,0
DOC-00236,0
DOC-00237,0
DOC-00238,1
DOC-00239,0
DOC-00240,1
DOC-00241,0
DOC-00242,0
DOC-00243,0
DOC-00244,0
DOC-00245,0
DOC-00246,0
DOC-00247,0
DOC-00248,0
DOC-00249,0
DOC-00250,0
DOC-00251,0
DOC-00252,0
DOC-00253,0
DOC-00254,0
DOC-00255,0
DOC-00256,0
DOC-00257,1
DOC-00258,0
DOC-00259,1
DOC-00260,0
DOC-00261,1
DOC-00262,0
DOC-00263,0
DOC-00264,1
DOC-00265,0
DOC-00266,0
DOC-00267,1
DOC-00268,0
DOC-00269,1
DOC-00270,0
DOC-00271,0
DOC-00272,1
DOC-00273,0
DOC-00274,0
DOC-00275,0
DOC-00276,0
DOC-00277,0
DOC-00278,0
DOC-00279,0
DOC-00280,0
DOC-00281,1
DOC-00282,0
DOC-00283,0
DOC-00284,1
DOC-00285,0
DOC-00286,0
DOC-00287,0
DOC-00288,0
DOC-00289,0
DOC-00290,1
DOC-00291,0
DOC-00292,0
DOC-00293,0
DOC-00294,1
DOC-00295,0
DOC-00296,0
DOC-00297,0
DOC-00298,0
DOC-00299,0
DOC-00300,0
DOC-00301,0
DOC-00302,1
DOC-00303,1
DOC-00304,0
DOC-00305,0
DOC-00306,0
DOC-00307,0
DOC-00308,1
DOC-00309,0
DOC-00310,1
DOC-00311,1
DOC-00312,0
DOC-00313,1
DOC-00314,0
DOC-00315,0
DOC-00316,0
DOC-00317,0
DOC-00318,0
DOC-00319,0
DOC-00320,1
DOC-00321,0
DOC-00322,0
DOC-00323,0
DOC-00324,0
DOC-00325,0
DOC-00326,0
DOC-00327,0
DOC-00328,0
DOC-00329,0
DOC-00330,0
DOC-00331,0
DOC-00332,0
DOC-00333,0
DOC-00334,0
DOC-00335,0
